1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	181.641521	0.000000	0.026885	9.293925	184.137779	337.3
1	182.203661	0.000000	0.026885	9.185259	180.638138	17.2
2	180.094439	0.000000	0.026885	7.914397	178.609808	21.8
3	167.950223	0.000000	0.026885	9.462583	177.792114	17.4
4	170.204584	0.000000	0.026885	7.771248	177.313364	19.0
5	171.789362	0.000000	0.026885	9.428546	173.308384	18.6
6	174.608584	0.000000	0.026885	7.474204	171.238528	21.1
7	164.087670	0.000000	0.026885	9.443921	169.909615	17.9
8	160.120104	0.000000	0.026885	7.135507	170.593419	20.8
9	159.953410	0.000000	0.026885	7.722937	168.060044	22.2
10	164.614683	0.000000	0.026885	11.253029	162.656144	17.3
11	155.635118	0.000000	0.026885	9.197366	160.135767	17.2
12	158.310198	0.000000	0.026885	9.793872	159.548055	21.8
13	146.186368	0.000000	0.026885	9.898064	156.050831	17.0
14	147.883725	0.000000	0.026885	6.801629	153.135390	18.4
15	161.067198	0.000000	0.026885	10.921629	150.067957	21.9
16	148.777970	0.000000	0.026885	7.307239	149.297665	20.7
17	154.171995	0.000000	0.026885	10.650330	147.479894	20.6
18	146.863642	0.000000	0.026885	9.412931	143.821455	17.8
19	154.316852	0.000000	0.026885	9.968416	140.984559	20.7
20	140.568786	0.000000	0.026885	7.708123	140.081301	18.3
21	147.835480	0.000000	0.026885	8.865006	140.373795	20.8
22	134.573659	0.000000	0.026885	8.534266	136.927101	17.7
23	129.910978	0.000000	0.026885	9.350022	134.267866	17.5
24	135.440896	0.000000	0.026885	9.121517	132.824893	21.8
25	132.605238	0.000000	0.026885	8.109204	133.286487	18.5
26	136.966154	0.000000	0.026885	9.316868	131.102749	19.5
27	126.158317	0.000000	0.026885	8.777567	127.038778	19.5
28	132.645793	0.000000	0.026885	6.479143	124.818741	21.2
29	115.886993	0.000000	0.026885	9.836786	122.876934	20.6
30	123.632535	0.000000	0.026885	6.747063	122.516558	22.1
31	130.099168	0.000000	0.026885	8.206352	119.584557	21.5
32	115.826987	0.000000	0.026885	7.417720	116.950692	22.5
33	113.658744	0.000000	0.026885	6.174496	115.362090	22.0
34	116.724560	0.000000	0.026885	7.562523	113.776003	20.1
35	109.034319	0.000000	0.026885	7.152071	113.420217	19.2
36	118.120276	0.000000	0.026885	8.262851	112.062872	17.6
37	114.188609	0.000000	0.026885	9.856494	108.679552	17.3
38	108.187742	0.000000	0.026885	7.014737	106.858956	17.7
39	100.522726	0.000000	0.026885	7.255845	106.097273	16.9
40	105.779975	0.000000	0.026885	8.268285	106.588725	17.4
41	101.677798	0.000000	0.026885	6.148436	105.998352	19.1
42	100.285908	0.000000	0.026885	6.148880	103.779559	19.1
43	100.817477	0.000000	0.026885	7.649762	101.804271	22.5
44	97.108300	0.000000	0.026885	7.600325	99.925873	20.6
45	106.505156	0.000000	0.026885	9.344248	99.304903	18.1
46	88.553861	0.000000	0.026885	7.253463	98.118021	17.5
47	95.973374	0.000000	0.026885	7.071650	94.671724	22.0
48	91.933167	0.000000	0.026885	5.977673	92.664576	19.1
49	95.530799	0.000000	0.026885	7.336818	90.634202	24.8
50	84.834922	0.000000	0.026885	5.494703	90.116762	18.5
51	85.900343	0.000000	0.026885	5.856797	89.820984	18.0
52	84.179852	0.000000	0.026885	5.939402	89.387394	20.9
53	91.790280	0.000000	0.026885	6.836645	86.676408	17.9
54	83.912628	0.000000	0.026885	7.497743	84.528383	16.6
55	86.064427	0.000000	0.026885	6.115889	83.211697	24.3
56	79.663870	0.000000	0.026885	6.437845	82.611670	21.3
57	78.198757	0.000000	0.026885	5.066134	82.554830	18.2
58	82.476951	0.000000	0.026885	7.043316	82.303855	17.4
59	75.940626	0.000000	0.026885	5.781924	80.415093	19.9
60	75.269821	0.000000	0.026885	5.481312	78.817658	17.6
61	78.383884	0.000000	0.026885	6.688279	77.788940	17.3
62	76.599327	0.000000	0.026885	6.511849	76.845271	17.0
63	78.359511	0.000000	0.026885	6.805921	77.367228	19.1
64	75.726046	0.000000	0.026885	6.890401	78.112973	17.8
65	78.751598	0.000000	0.026885	6.536677	75.262205	18.8
66	67.607432	0.000000	0.026885	5.274395	73.680970	18.0
67	74.163022	0.000000	0.026885	6.338822	71.739713	18.7
68	68.503068	0.000000	0.026885	6.206751	69.923916	17.1
69	67.910557	0.000000	0.026885	5.569705	69.474218	18.9
70	70.284509	0.000000	0.026885	6.768840	69.609875	18.4
71	66.865807	0.000000	0.026885	4.338592	68.537952	20.7
72	64.193890	0.000000	0.026885	6.760090	65.953362	21.2
73	66.898595	0.000000	0.026885	5.311385	64.426840	17.1
74	62.512754	0.000000	0.026885	4.862892	63.428262	19.4
75	65.367972	0.000000	0.026885	5.118395	62.380980	17.9
76	62.917791	0.000000	0.026885	4.556692	62.172338	18.9
77	63.322228	0.000000	0.026885	5.683027	62.235000	17.4
78	62.975944	0.000000	0.026885	4.892671	62.297720	16.3
79	67.213040	0.000000	0.026885	6.263025	60.080606	19.2
80	63.649840	0.000000	0.026885	4.672417	58.804166	18.0
