1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	17.498329	0.000000	0.342079	0.870709	30.6
1	18.990846	0.000000	0.342079	0.967029	2.4
2	14.661318	0.000000	0.342079	0.873183	1.2
3	16.370298	0.000000	0.342079	1.009173	1.3
4	14.329452	0.000000	0.342079	0.579404	1.3
5	16.202978	0.000000	0.342079	0.795364	1.2
6	13.402921	0.000000	0.342079	0.715367	1.3
7	14.985179	0.000000	0.342079	0.623472	1.9
8	15.797824	0.000000	0.342079	0.858834	1.7
9	15.541479	0.000000	0.342079	0.688575	1.3
10	12.260886	0.000000	0.342079	0.599271	2.1
11	12.708826	0.000000	0.342079	0.567136	1.3
12	13.225780	0.000000	0.342079	0.581165	1.2
13	13.744411	0.000000	0.342079	0.493576	2.2
14	13.579950	0.000000	0.342079	0.591407	1.8
15	12.754095	0.000000	0.342079	0.555044	1.3
16	13.251067	0.000000	0.342079	0.466236	1.6
17	10.127393	0.000000	0.342079	0.483892	2.2
18	13.416137	0.000000	0.342079	0.478202	1.8
19	12.919056	0.000000	0.342079	0.476122	1.7
20	12.646891	0.000000	0.342079	0.392598	1.2
21	13.338271	0.000000	0.342079	0.460548	1.2
22	12.841967	0.000000	0.342079	0.466205	1.5
23	13.057862	0.000000	0.342079	0.581983	1.2
24	12.748606	0.000000	0.342079	0.373762	1.4
25	9.630410	0.000000	0.342079	0.379731	1.2
26	10.380914	0.000000	0.342079	0.360449	1.2
27	11.471404	0.000000	0.342079	0.548428	1.2
28	11.155519	0.000000	0.342079	0.485209	1.3
29	10.044627	0.000000	0.342079	0.391397	1.7
30	11.447564	0.000000	0.342079	0.340797	1.8
31	10.814384	0.000000	0.342079	0.372653	1.2
32	10.930956	0.000000	0.342079	0.361646	1.5
33	9.566496	0.000000	0.342079	0.325296	1.2
34	9.806234	0.000000	0.342079	0.312323	1.3
35	9.941906	0.000000	0.342079	0.455792	1.2
36	9.375589	0.000000	0.342079	0.363696	1.2
37	10.350060	0.000000	0.342079	0.287303	1.3
38	9.490332	0.000000	0.342079	0.409441	1.6
39	8.591064	0.000000	0.342079	0.355075	1.2
40	9.878454	0.000000	0.342079	0.401825	1.5
41	9.972349	0.000000	0.342079	0.400144	1.2
42	11.463220	0.000000	0.342079	0.276677	1.2
43	9.939201	0.000000	0.342079	0.387808	1.9
44	8.989227	0.000000	0.342079	0.323343	1.3
45	9.638506	0.000000	0.342079	0.239660	1.5
46	10.137582	0.000000	0.342079	0.279202	1.2
47	11.187706	0.000000	0.342079	0.245572	1.3
48	9.345017	0.000000	0.342079	0.369210	1.7
49	10.369163	0.000000	0.342079	0.283212	1.8
50	10.075592	0.000000	0.342079	0.391422	1.2
51	8.915109	0.000000	0.342079	0.220786	1.3
52	8.183632	0.000000	0.342079	0.307446	1.4
53	8.026376	0.000000	0.342079	0.282608	1.5
54	8.194584	0.000000	0.342079	0.317589	1.9
55	9.749060	0.000000	0.342079	0.294215	2.0
56	10.237860	0.000000	0.342079	0.329062	1.9
57	8.192299	0.000000	0.342079	0.416109	1.3
58	8.783201	0.103021	0.340409	0.271954	1.4
59	7.976089	0.054237	0.341198	0.223360	1.4
60	6.739503	0.005452	0.341990	0.251054	1.2
61	8.946527	0.000000	0.342079	0.308654	1.8
62	8.340563	0.000000	0.342079	0.358027	1.2
63	9.059838	0.000000	0.342079	0.363707	1.2
64	8.183569	0.000000	0.342079	0.200721	1.4
65	6.224975	0.000000	0.342079	0.235592	1.2
66	6.686973	0.000000	0.342079	0.269039	2.0
67	8.269203	0.000000	0.342079	0.319025	1.3
68	8.009161	0.000000	0.342079	0.267222	1.5
69	7.076887	0.000000	0.342079	0.291601	1.3
70	8.638211	0.000000	0.342079	0.216575	1.2
71	6.620352	0.000000	0.342079	0.215322	1.4
72	8.751829	0.000000	0.342079	0.212066	1.9
73	6.058732	0.000000	0.342079	0.230492	1.7
74	7.946669	0.000000	0.342079	0.283199	1.2
75	6.673065	0.000000	0.342079	0.249582	1.2
76	8.791564	0.000000	0.342079	0.292333	1.2
77	7.340220	0.000000	0.342079	0.245528	1.5
78	7.291535	0.000000	0.342079	0.215836	1.3
79	7.924988	0.000000	0.342079	0.333175	1.2
80	8.402958	0.000000	0.342079	0.299379	1.5
81	7.658122	0.000000	0.342079	0.225241	1.9
82	6.281493	0.000000	0.342079	0.223333	1.7
83	8.557091	0.000000	0.342079	0.212513	1.2
84	6.791776	0.000000	0.342079	0.232449	1.3
85	6.784206	0.000000	0.342079	0.225136	1.3
86	6.472707	0.000000	0.342079	0.263410	1.5
87	7.962668	0.000000	0.342079	0.283749	1.3
88	7.147383	0.000000	0.342079	0.243847	1.4
89	6.139972	0.000000	0.342079	0.205769	1.3
90	6.288974	0.000000	0.342079	0.209600	1.8
91	7.370386	0.000000	0.342079	0.228185	1.6
92	6.683657	0.000000	0.342079	0.258149	2.0
93	6.681307	0.000000	0.342079	0.256760	1.9
94	6.718974	0.000000	0.342079	0.195015	1.3
95	6.292116	0.000000	0.342079	0.247588	1.2
96	6.809551	0.000000	0.342079	0.198738	1.4
97	6.252888	0.000000	0.342079	0.185912	1.2
98	6.171516	0.000000	0.342079	0.227846	1.4
99	6.583150	0.000000	0.342079	0.207332	1.2
100	6.820180	0.000000	0.342079	0.210795	1.3
101	6.035478	0.000000	0.342079	0.244048	1.2
102	5.830972	0.000000	0.342079	0.229457	1.3
103	6.705288	0.000000	0.342079	0.255661	2.1
104	5.800111	0.000000	0.342079	0.195269	1.5
105	6.717383	0.000000	0.342079	0.220726	1.2
106	5.474405	0.000000	0.342079	0.215684	1.2
107	7.664128	0.000000	0.342079	0.269599	2.1
108	6.490569	0.000000	0.342079	0.225489	1.3
109	6.681048	0.000000	0.342079	0.233011	1.2
110	6.860240	0.000000	0.342079	0.157225	2.0
111	6.825727	0.000000	0.342079	0.178252	1.2
112	7.157515	0.000000	0.342079	0.144015	1.2
113	6.372028	0.000000	0.342079	0.199980	1.6
114	6.720840	0.000000	0.342079	0.195587	1.9
115	6.416544	0.000000	0.342079	0.223431	1.2
116	7.272249	0.000000	0.342079	0.237512	2.1
117	6.580881	0.000000	0.342079	0.164751	1.2
118	6.414036	0.000000	0.342079	0.195696	1.5
119	6.274479	0.000000	0.342079	0.302792	1.9
120	5.801901	0.000000	0.342079	0.279759	1.3
121	5.012782	0.000000	0.342079	0.209101	1.2
122	5.153914	0.000000	0.342079	0.217360	2.0
123	5.671550	0.022711	0.341710	0.173536	1.8
124	6.597212	0.000000	0.342079	0.168003	1.4
125	5.820438	0.000000	0.342079	0.159742	1.2
126	6.921203	0.000000	0.342079	0.238369	1.2
127	5.672421	0.000000	0.342079	0.199873	1.2
128	5.650152	0.000000	0.342079	0.173849	1.2
129	5.392805	0.000000	0.342079	0.266537	1.2
130	6.826093	0.000000	0.342079	0.171032	2.0
131	5.695744	0.000000	0.342079	0.170743	1.3
132	6.824725	0.000000	0.342079	0.147865	1.9
133	5.706360	0.000000	0.342079	0.208815	1.4
134	6.009829	0.000000	0.342079	0.235927	1.2
135	5.501570	0.000000	0.342079	0.180547	1.5
136	6.427750	0.000000	0.342079	0.188897	1.4
137	6.278507	0.000000	0.342079	0.190239	2.4
138	6.642865	0.000000	0.342079	0.187595	1.2
139	5.428277	0.000000	0.342079	0.268823	1.2
140	5.408717	0.000000	0.342079	0.178474	1.9
141	6.122041	0.998663	0.326550	0.151568	1.2
142	5.754036	0.949903	0.327275	0.098833	1.3
143	5.855109	0.901158	0.328004	0.145394	1.2
144	6.312755	0.852410	0.328736	0.246161	1.5
145	5.203317	0.803626	0.329471	0.198562	1.3
146	5.820631	0.754842	0.330210	0.189314	1.6
147	6.130091	0.706091	0.330952	0.182761	1.3
148	6.493137	0.657307	0.331697	0.158625	1.9
149	6.722003	0.608523	0.332446	0.194510	1.7
150	6.271804	0.559753	0.333198	0.192235	1.3
151	5.040803	0.510969	0.333954	0.221596	1.2
152	6.281270	0.462185	0.334713	0.181620	1.3
153	6.405118	0.413401	0.335475	0.225721	1.2
154	5.595969	0.364720	0.336240	0.162420	2.0
155	5.957090	0.315936	0.337009	0.208947	1.3
156	5.671415	0.267152	0.337782	0.198233	1.2
157	6.539427	0.218367	0.338559	0.157044	2.0
158	6.051926	0.169980	0.339333	0.187064	1.2
159	4.971914	0.123082	0.340086	0.164117	1.2
160	5.658225	0.075279	0.340857	0.218003	1.2
161	6.160798	0.026495	0.341648	0.187711	1.2
162	5.090465	0.000000	0.342079	0.211196	2.0
163	6.715908	0.000000	0.342079	0.264130	1.3
164	4.865808	0.000000	0.342079	0.157694	1.2
