1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	2.667446	0.000000	0.501866	0.474166	20.5
1	2.796994	0.000000	0.501866	0.367116	2.1
2	2.354595	0.000000	0.501866	0.237357	2.3
3	2.538090	0.000000	0.501866	0.238149	2.0
4	1.958095	0.000000	0.501866	0.148550	1.9
5	2.119453	0.000000	0.501866	0.232385	1.4
6	2.469960	0.000000	0.501866	0.289931	1.4
7	2.327173	0.000000	0.501866	0.207249	1.4
8	2.315246	0.000000	0.501866	0.248774	1.6
9	2.131291	0.000000	0.501866	0.209109	1.5
10	2.227706	0.000000	0.501866	0.269934	2.3
11	1.997561	0.000000	0.501866	0.161530	2.2
12	2.229305	0.000000	0.501866	0.186058	2.2
13	2.125090	0.000000	0.501866	0.146332	2.6
14	2.444598	0.000000	0.501866	0.197933	2.3
15	2.244019	0.000000	0.501866	0.173886	2.5
16	1.925857	0.000000	0.501866	0.262183	3.1
17	1.945254	0.000000	0.501866	0.174486	2.4
18	2.057528	0.000000	0.501866	0.186972	2.7
19	2.119691	0.000000	0.501866	0.196975	1.8
20	2.011057	0.000000	0.501866	0.168147	1.7
21	2.111303	0.197923	0.497180	0.175096	1.4
22	2.329222	0.000000	0.501866	0.293707	1.4
23	1.753120	0.000000	0.501866	0.166726	1.4
24	2.130033	0.000000	0.501866	0.219892	1.7
25	2.038626	0.000000	0.501866	0.156259	2.7
26	2.165346	0.000000	0.501866	0.136605	2.6
27	2.110823	0.000000	0.501866	0.176183	1.7
28	1.911797	0.000000	0.501866	0.123841	1.4
29	2.294933	0.000000	0.501866	0.151687	1.6
30	2.099920	0.000000	0.501866	0.237720	1.5
31	1.997266	0.000000	0.501866	0.189751	1.4
32	1.910818	0.000000	0.501866	0.186643	1.4
33	1.960305	0.000000	0.501866	0.111980	1.8
34	2.082875	0.000000	0.501866	0.293236	1.8
35	2.150347	0.000000	0.501866	0.169442	1.4
36	2.060635	0.000000	0.501866	0.159781	1.5
37	2.317483	0.000000	0.501866	0.185981	1.6
38	2.223092	0.000000	0.501866	0.118039	1.5
39	1.931188	0.000000	0.501866	0.144994	1.4
40	2.171199	0.000000	0.501866	0.153898	1.5
41	1.937029	0.000000	0.501866	0.141873	1.4
42	2.013455	0.000000	0.501866	0.087257	2.0
43	1.991095	0.000000	0.501866	0.105876	2.3
44	1.892617	0.000000	0.501866	0.228438	1.4
45	1.988229	0.000000	0.501866	0.124581	1.4
46	2.162574	0.000000	0.501866	0.118954	1.4
47	1.931271	0.000000	0.501866	0.116565	1.5
48	2.088674	0.000000	0.501866	0.184978	1.4
49	1.837491	0.000000	0.501866	0.109816	1.4
50	1.857170	0.000000	0.501866	0.169653	1.4
51	1.917785	0.000000	0.501866	0.150391	1.5
52	2.155045	0.114615	0.499142	0.108398	1.4
53	1.955479	0.000000	0.501866	0.130717	1.4
54	1.739447	0.000000	0.501866	0.122676	1.5
55	1.875047	0.000000	0.501866	0.150150	1.5
56	1.910929	0.109080	0.499273	0.169477	1.4
57	1.994208	0.000000	0.501866	0.142021	1.4
58	2.058698	0.068334	0.500238	0.210555	1.5
59	2.358753	0.495911	0.490288	0.226938	1.5
60	1.978041	1.483789	0.468746	0.145287	1.4
61	1.967808	1.207048	0.474588	0.159071	1.4
62	1.774432	0.930710	0.480568	0.114585	1.5
63	2.000677	0.670490	0.486338	0.175803	1.4
64	1.826851	1.339425	0.471775	0.136685	1.4
65	2.224125	1.072146	0.477488	0.197962	1.4
66	1.903378	0.795782	0.483543	0.111601	1.5
67	1.870763	1.057026	0.477816	0.147657	1.5
68	2.252806	1.534075	0.467700	0.194412	1.4
69	2.041764	1.793146	0.462384	0.187640	1.4
70	1.783791	2.786154	0.443081	0.119710	1.5
71	2.281387	2.923159	0.440543	0.227667	1.4
72	1.961357	3.408715	0.431780	0.100661	1.4
73	2.013084	3.220110	0.435142	0.155096	1.4
74	1.824989	3.459661	0.430881	0.136720	1.5
75	1.996891	4.211101	0.418038	0.091444	1.4
76	1.947012	4.015435	0.421308	0.097084	1.4
77	1.647777	3.930758	0.422739	0.144123	1.6
