1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	1.336006	3.776953	0.035512	8.6
1	1.312945	3.584205	0.051429	6.5
2	1.356917	3.415593	0.025816	6.0
3	1.297914	3.266562	0.038319	6.0
4	1.312922	3.133669	0.018538	6.7
5	1.306471	3.014253	0.073222	6.0
6	1.290942	2.906228	0.026360	6.0
7	1.361949	2.807928	0.055905	6.8
8	1.329246	2.718005	0.012664	6.0
9	1.348037	2.635360	0.020699	6.3
10	1.311043	2.559081	0.034473	6.2
11	1.362724	2.488408	0.025467	6.3
12	1.356373	2.422701	0.021182	7.4
13	1.276177	2.361418	0.042691	6.0
14	1.305794	2.304094	0.059030	6.0
15	1.333185	2.250329	0.031700	6.0
16	1.364060	2.199779	0.054104	7.5
17	1.361629	2.152142	0.024986	6.0
18	1.369104	2.107155	0.028881	7.8
19	1.341482	2.064586	0.025110	6.0
20	1.334738	2.024232	0.013623	7.5
21	1.321125	1.985911	0.029448	7.6
22	1.324112	1.949461	0.014838	7.2
23	1.291095	1.914739	0.018535	7.7
24	1.312398	1.881616	0.017477	7.4
25	1.347774	1.849975	0.027265	6.3
26	1.365750	1.819712	0.029305	7.6
27	1.364864	1.790731	0.016921	6.0
28	1.312009	1.762946	0.018459	7.5
29	1.314817	1.736280	0.025496	6.0
30	1.340066	1.710662	0.031327	8.1
31	1.314946	1.686025	0.026032	6.2
32	1.322118	1.662310	0.036865	7.7
33	1.352481	1.639462	0.011159	7.4
34	1.374562	1.617432	0.009015	7.8
35	1.340136	1.596172	0.011333	7.6
36	1.324607	1.575640	0.010082	7.8
37	1.365891	1.555796	0.034737	7.9
38	1.281111	1.536604	0.014150	6.0
39	1.345717	1.518029	0.007313	6.7
40	1.354261	1.500040	0.019683	6.0
41	1.355276	1.482607	0.039241	6.0
42	1.304234	1.465703	0.015191	7.8
43	1.313580	1.449302	0.015512	6.0
44	1.381533	1.433381	0.018056	6.0
45	1.294131	1.417917	0.036008	7.3
46	1.355235	1.402889	0.036439	6.0
47	1.321093	1.388278	0.013183	6.0
48	1.289146	1.374064	0.020892	6.0
49	1.332502	1.360232	0.022961	6.0
50	1.364191	1.346764	0.015289	6.0
51	1.326028	1.333645	0.014778	8.1
52	1.322422	1.320861	0.030251	6.0
53	1.337028	1.308397	0.040848	7.8
54	1.302811	1.296242	0.009367	7.9
55	1.298005	1.284383	0.010748	6.4
56	1.276309	1.272808	0.031400	6.0
57	1.324284	1.261507	0.038011	6.0
58	1.312391	1.250469	0.017230	6.0
59	1.333369	1.239684	0.011468	6.0
60	1.310667	1.229143	0.012680	7.9
61	1.279489	1.218838	0.010046	6.0
62	1.323268	1.208759	0.021796	6.0
63	1.323534	1.198899	0.023129	6.1
64	1.308096	1.189250	0.034587	6.0
65	1.262620	1.179805	0.029354	6.8
66	1.412737	1.170557	0.010814	6.0
67	1.351205	1.161500	0.023219	6.0
68	1.348076	1.152626	0.026912	6.2
69	1.283445	1.143931	0.001884	7.4
70	1.276306	1.135408	0.016048	6.3
71	1.359721	1.127052	0.024547	6.1
72	1.340328	1.118858	0.012011	7.8
73	1.309227	1.110820	0.016676	6.0
74	1.325895	1.102935	0.008358	6.0
75	1.267573	1.095196	0.024541	6.0
76	1.275698	1.087601	0.024297	7.6
77	1.396325	1.080143	0.009630	7.5
78	1.332023	1.072821	0.009118	7.3
79	1.311439	1.065629	0.040850	7.7
80	1.378512	1.058564	0.018483	6.3
81	1.292970	1.051622	0.023635	7.8
82	1.350384	1.044800	0.009237	7.4
83	1.332834	1.038095	0.043421	6.0
84	1.376512	1.031503	0.020370	6.0
85	1.295498	1.025021	0.011184	6.1
86	1.369410	1.018646	0.052257	6.0
87	1.310666	1.012376	0.003536	6.0
88	1.363326	1.006208	0.055226	6.1
89	1.355473	1.000138	0.014317	6.0
90	1.344393	0.994165	0.053214	7.4
91	1.334835	0.988286	0.025133	6.3
92	1.350545	0.982499	0.023549	6.0
93	1.362218	0.976801	0.007762	7.4
94	1.265025	0.971190	0.032443	7.3
95	1.348499	0.965664	0.026221	7.5
96	1.286168	0.960220	0.010392	8.0
97	1.391731	0.954858	0.021413	7.6
98	1.350906	0.949575	0.016774	7.7
99	1.347926	0.944369	0.034011	6.5
