1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	5.967806	0.000000	0.059525	3.722827	722.2
1	8.455165	0.000000	0.059525	1.992371	6.6
2	11.541320	0.000000	0.059525	17.462986	6.6
3	12.772052	1.000000	0.056819	8.716973	8.3
4	8.945061	2.000000	0.054349	4.253297	4.7
5	10.363879	2.876152	0.052354	7.398724	4.0
6	9.091571	3.872780	0.050256	4.407655	3.8
7	7.354659	4.538465	0.048946	6.659026	4.7
8	9.322910	3.998078	0.050005	5.650385	4.1
9	6.378979	4.998076	0.048081	1.709793	2.8
10	6.799502	4.458769	0.049100	3.838072	3.2
11	6.120668	4.857983	0.048342	0.876206	3.2
12	6.061818	5.595436	0.047001	1.515266	3.1
13	5.877770	5.721175	0.046780	0.959534	2.7
14	9.802757	5.898497	0.046472	0.906653	2.8
15	6.744921	6.024237	0.046255	1.616730	3.2
16	7.450226	5.846703	0.046561	3.968375	3.0
17	6.266561	5.364982	0.047412	2.988671	2.7
18	7.473020	6.348354	0.045707	2.423021	3.2
19	6.814479	7.249792	0.044249	2.068669	3.3
20	6.299359	7.844589	0.043336	4.304297	3.3
21	5.606828	8.678776	0.042118	2.113445	3.1
22	7.968048	8.140840	0.042896	4.832025	3.0
23	6.271295	9.121589	0.041499	5.576249	2.6
24	6.690090	8.581170	0.042257	2.865676	3.1
25	10.197616	9.580370	0.040876	4.854196	3.3
26	8.587079	9.040557	0.041611	3.887783	2.9
27	5.664048	10.038284	0.040273	0.805899	3.2
28	9.583279	9.757349	0.040641	8.602081	2.8
29	6.220513	9.779014	0.040613	2.933296	3.2
30	14.221159	10.779014	0.039335	10.794544	3.3
31	8.568762	10.238611	0.040015	3.390405	3.0
32	4.999432	11.238611	0.038774	4.155109	2.8
33	8.918943	10.698246	0.039435	6.617129	3.0
34	6.825749	11.449787	0.038522	1.794652	3.2
35	7.384378	12.034710	0.037840	0.341374	3.0
36	6.254081	11.918393	0.037973	1.127584	3.0
37	10.149289	11.916648	0.037975	6.375045	2.8
38	6.552036	11.586268	0.038360	2.786151	3.1
39	6.955136	11.066158	0.038982	3.735034	3.3
40	9.634172	10.959478	0.039113	7.776746	2.6
41	6.140296	11.926971	0.037963	2.934211	3.4
42	5.851307	12.926940	0.036844	1.674667	3.1
43	6.070412	13.722359	0.036000	2.225775	3.1
44	6.128529	14.214767	0.035497	3.126219	2.7
45	5.389695	14.875557	0.034843	0.811442	3.1
46	4.440324	14.751052	0.034964	1.947009	3.3
47	13.664318	14.726818	0.034988	7.483686	3.5
48	8.234041	14.250301	0.035461	0.912533	3.4
49	14.190607	13.719442	0.036003	18.703398	3.4
50	8.816221	13.190564	0.036560	6.975586	3.4
51	6.480999	14.190564	0.035521	2.948585	3.2
52	10.452124	13.678136	0.036046	18.817771	3.2
53	5.217619	14.677768	0.035036	3.164378	3.2
54	7.313038	15.677768	0.034081	9.068182	2.6
55	9.735756	15.137351	0.034591	5.632271	3.0
56	6.655907	16.137312	0.033659	0.586104	3.3
57	7.124381	16.759383	0.033105	1.402313	3.3
58	9.008150	16.633890	0.033215	4.439786	3.4
59	8.359571	16.130947	0.033665	2.759081	3.3
60	6.152736	17.118127	0.032793	1.709108	3.3
61	9.339899	17.603384	0.032381	5.223248	3.0
62	7.700451	18.237263	0.031858	6.197847	2.7
63	5.501299	19.237021	0.031066	1.544300	2.7
64	4.852404	18.936274	0.031300	1.399888	2.6
